Date,Open,High,Low,Close,Adj Close,Volume
2018-07-05,29.718800,30.095800,28.073400,28.635300,28.635300,11143500
2018-07-06,28.663700,30.046801,27.189800,30.020500,30.020500,12468600
2018-07-07,29.901501,31.667700,28.401600,31.243000,31.243000,15383000
2018-07-08,30.986000,31.616199,30.324400,30.461300,30.461300,9954600
2018-07-09,30.483999,34.595798,29.361799,30.758699,30.758699,12223400
2018-07-10,30.443001,32.266399,27.300600,27.403099,27.403099,8713120
2018-07-11,27.401600,27.895500,26.802099,27.251101,27.251101,8032830
2018-07-12,27.243099,29.618799,25.144899,29.432100,29.432100,8771380
2018-07-13,29.568701,30.686701,26.752001,27.593000,27.593000,11686700
2018-07-14,27.528700,28.608500,26.784599,28.608500,28.608500,6831280
2018-07-15,28.549601,29.438499,28.104300,28.145399,28.145399,11321300
2018-07-16,28.193399,29.879499,28.137400,29.746500,29.746500,9442970
2018-07-17,29.690500,32.674000,28.854000,31.438299,31.438299,13527500
2018-07-18,31.455601,32.762501,30.577200,31.253401,31.253401,11376200
2018-07-19,31.244600,32.403301,30.481400,30.890400,30.890400,9516590
2018-07-20,30.889099,30.889099,27.827400,27.933701,27.933701,9588410
2018-07-21,27.890100,29.224100,27.536600,28.945700,28.945700,7355940
2018-07-22,28.920900,30.399099,28.391500,28.549299,28.549299,10237700
2018-07-23,28.513599,33.242699,28.513599,30.671801,30.671801,30682300
2018-07-24,30.680300,33.113098,29.339001,32.075001,32.075001,24033300
2018-07-25,31.732300,32.046600,29.891399,30.691601,30.691601,12428800
2018-07-26,30.640800,31.393801,29.342300,29.667601,29.667601,11147300
2018-07-27,29.660400,32.283501,28.544600,31.760900,31.760900,16763500
2018-07-28,31.794300,31.938601,30.165400,30.369801,30.369801,8720480
2018-07-29,30.494499,34.443901,30.494499,33.566399,33.566399,17609600
2018-07-30,33.612000,33.612000,27.516600,30.384100,30.384100,10120100
2018-07-31,28.529699,29.809401,27.548201,28.035101,28.035101,11556000
2018-08-01,28.009199,28.042200,26.382000,27.800501,27.800501,8412570
2018-08-02,27.692499,28.469299,25.423300,25.688000,25.688000,9541590
2018-08-03,25.706200,25.723301,23.408800,24.748699,24.748699,10327000
2018-08-04,24.672100,25.298800,23.631001,24.195200,24.195200,5959840
2018-08-05,24.200701,25.593201,23.984100,25.456200,25.456200,9685280
2018-08-06,25.507700,28.280899,24.543501,25.934601,25.934601,16173300
2018-08-07,25.869400,26.084000,23.529100,23.711399,23.711399,10909000
2018-08-08,23.735001,23.735001,21.436701,21.754299,21.754299,9227830
2018-08-09,21.750799,22.985300,21.676500,22.668400,22.668400,8339530
2018-08-10,22.608500,22.728201,20.900999,21.109501,21.109501,7430280
2018-08-11,21.110800,21.113400,19.430700,20.244699,20.244699,7161000
